iter	Passed	Remaining
0	9	9182
1	17	8620
2	25	8442
3	33	8459
4	42	8378
5	50	8443
6	59	8499
7	68	8452
8	76	8411
9	85	8423
10	93	8416
11	102	8430
12	110	8419
13	119	8391
14	127	8399
15	136	8395
16	144	8362
17	152	8346
18	161	8336
19	170	8338
20	178	8343
21	187	8328
22	196	8364
23	205	8368
24	214	8372
25	223	8363
26	232	8371
27	241	8380
28	250	8379
29	258	8373
30	267	8363
31	276	8355
32	284	8350
33	293	8347
34	302	8341
35	311	8340
36	320	8329
37	329	8333
38	337	8324
39	347	8330
40	356	8329
41	365	8327
42	374	8332
43	383	8330
44	392	8325
45	401	8327
46	410	8322
47	419	8314
48	427	8304
49	436	8300
50	445	8290
51	453	8275
52	462	8265
53	471	8260
54	479	8240
55	488	8229
56	497	8230
57	506	8226
58	515	8214
59	525	8236
60	533	8215
61	542	8205
62	551	8197
63	559	8185
64	568	8180
65	576	8165
66	585	8154
67	594	8145
68	603	8139
69	611	8128
70	620	8114
71	628	8105
72	637	8089
73	646	8086
74	655	8078
75	663	8066
76	671	8054
77	680	8046
78	689	8037
79	699	8045
80	707	8030
81	716	8020
82	724	8008
83	733	7994
84	741	7982
85	750	7971
86	758	7963
87	767	7953
88	776	7944
89	785	7939
90	793	7925
91	802	7917
92	810	7905
93	819	7897
94	828	7889
95	836	7877
96	844	7866
97	853	7858
98	870	7921
99	884	7960
100	894	7961
101	903	7955
102	912	7948
103	924	7968
104	933	7955
105	942	7947
106	950	7935
107	959	7923
108	967	7909
109	975	7896
110	984	7884
111	992	7870
112	1001	7862
113	1009	7847
114	1018	7837
115	1026	7821
116	1035	7814
117	1044	7806
118	1052	7793
119	1062	7790
120	1070	7779
121	1079	7768
122	1087	7755
123	1096	7743
124	1105	7736
125	1114	7728
126	1122	7716
127	1130	7702
128	1138	7690
129	1147	7680
130	1156	7668
131	1164	7657
132	1172	7645
133	1181	7634
134	1189	7621
135	1197	7608
136	1205	7596
137	1214	7585
138	1222	7572
139	1230	7561
140	1239	7551
141	1248	7541
142	1257	7534
143	1265	7524
144	1274	7515
145	1283	7507
146	1292	7501
147	1302	7495
148	1312	7493
149	1320	7484
150	1329	7475
151	1338	7467
152	1348	7464
153	1357	7458
154	1367	7453
155	1376	7446
156	1384	7436
157	1393	7428
158	1403	7421
159	1412	7413
160	1421	7406
161	1430	7397
162	1438	7387
163	1447	7377
164	1456	7369
165	1464	7358
166	1473	7347
167	1481	7338
168	1490	7331
169	1499	7323
170	1508	7314
171	1517	7306
172	1526	7297
173	1534	7286
174	1543	7277
175	1552	7268
176	1560	7257
177	1569	7245
178	1577	7233
179	1585	7221
180	1593	7211
181	1602	7202
182	1610	7191
183	1618	7178
184	1627	7168
185	1635	7157
186	1643	7147
187	1652	7137
188	1660	7127
189	1669	7115
190	1677	7104
191	1685	7092
192	1693	7082
193	1702	7071
194	1710	7060
195	1718	7047
196	1726	7037
197	1734	7026
198	1743	7016
199	1751	7004
200	1759	6993
201	1767	6981
202	1775	6970
203	1783	6960
204	1792	6951
205	1801	6942
206	1809	6931
207	1817	6920
208	1825	6909
209	1833	6898
210	1842	6888
211	1850	6878
212	1858	6867
213	1867	6857
214	1875	6846
215	1883	6836
216	1892	6827
217	1900	6816
218	1908	6806
219	1916	6794
220	1924	6784
221	1933	6774
222	1941	6764
223	1950	6755
224	1958	6744
225	1965	6732
226	1973	6721
227	1982	6713
228	1991	6703
229	1999	6693
230	2007	6683
231	2016	6675
232	2025	6668
233	2034	6660
234	2043	6651
235	2052	6643
236	2060	6633
237	2068	6623
238	2076	6613
239	2085	6604
240	2093	6594
241	2102	6586
242	2110	6575
243	2119	6567
244	2128	6559
245	2136	6548
246	2144	6538
247	2152	6528
248	2161	6519
249	2169	6509
250	2178	6499
251	2186	6489
252	2195	6481
253	2203	6471
254	2211	6460
255	2219	6450
256	2227	6440
257	2236	6431
258	2245	6423
259	2253	6414
260	2262	6404
261	2270	6394
262	2278	6385
263	2288	6378
264	2296	6369
265	2305	6361
266	2313	6351
267	2321	6342
268	2330	6331
269	2339	6326
270	2348	6316
271	2356	6306
272	2364	6296
273	2373	6288
274	2382	6280
275	2390	6271
276	2398	6261
277	2407	6251
278	2415	6242
279	2424	6233
280	2432	6223
281	2440	6214
282	2449	6205
283	2457	6195
284	2465	6185
285	2473	6176
286	2482	6166
287	2490	6157
288	2498	6147
289	2506	6137
290	2515	6127
291	2523	6118
292	2531	6109
293	2540	6101
294	2549	6092
295	2557	6082
296	2565	6073
297	2574	6063
298	2582	6053
299	2590	6045
300	2600	6037
301	2609	6030
302	2617	6020
303	2625	6011
304	2634	6002
305	2643	5994
306	2651	5985
307	2661	5979
308	2669	5969
309	2678	5961
310	2686	5951
311	2695	5943
312	2703	5934
313	2712	5926
314	2721	5917
315	2730	5909
316	2738	5900
317	2747	5891
318	2755	5882
319	2764	5873
320	2773	5865
321	2781	5856
322	2790	5848
323	2799	5840
324	2807	5831
325	2816	5823
326	2824	5813
327	2833	5805
328	2842	5796
329	2850	5787
330	2858	5778
331	2867	5768
332	2875	5760
333	2883	5750
334	2897	5751
335	2911	5754
336	2926	5757
337	2937	5753
338	2946	5744
339	2957	5740
340	2967	5735
341	2976	5726
342	2985	5718
343	2993	5709
344	3003	5702
345	3012	5694
346	3021	5686
347	3030	5677
348	3039	5669
349	3048	5661
350	3057	5652
351	3065	5643
352	3074	5635
353	3083	5626
354	3092	5619
355	3101	5610
356	3110	5602
357	3119	5594
358	3128	5586
359	3137	5576
360	3145	5567
361	3154	5559
362	3163	5550
363	3171	5541
364	3179	5531
365	3188	5523
366	3197	5514
367	3205	5504
368	3213	5495
369	3222	5486
370	3230	5477
371	3239	5468
372	3247	5459
373	3255	5449
374	3264	5440
375	3272	5431
376	3280	5421
377	3289	5413
378	3297	5403
379	3306	5394
380	3314	5384
381	3322	5375
382	3330	5365
383	3339	5356
384	3347	5347
385	3355	5337
386	3364	5328
387	3372	5319
388	3381	5310
389	3389	5301
390	3398	5293
391	3407	5285
392	3416	5276
393	3425	5268
394	3433	5259
395	3442	5250
396	3451	5241
397	3459	5232
398	3468	5224
399	3477	5215
400	3485	5206
401	3494	5198
402	3503	5190
403	3512	5181
404	3520	5172
405	3530	5164
406	3538	5156
407	3547	5147
408	3555	5138
409	3565	5130
410	3573	5121
411	3582	5113
412	3591	5105
413	3601	5097
414	3609	5088
415	3617	5078
416	3626	5070
417	3635	5062
418	3644	5053
419	3652	5044
420	3661	5035
421	3669	5026
422	3678	5017
423	3686	5007
424	3694	4998
425	3703	4989
426	3711	4980
427	3719	4970
428	3727	4961
429	3735	4951
430	3744	4942
431	3752	4933
432	3760	4924
433	3770	4917
434	3778	4907
435	3787	4899
436	3795	4889
437	3804	4881
